frame,dF_F
888,6.8858
889,6.9735
890,7.1996
891,7.0312
892,6.8636
893,6.9337
894,7.017
895,6.9935
896,7.1896
897,7.391
898,7.5058
899,7.7888
900,8.1167
901,8.3944
902,8.6488
903,8.6814
904,8.6385
905,8.4602
906,8.5056
907,8.5665
908,8.6478
909,8.7752
910,8.8819
911,8.7998
912,8.8419
913,8.7653
914,8.8812
915,8.8241
916,8.9382
917,8.8423
918,8.9365
919,9.0375
920,9.1404
921,9.3069
922,9.4894
923,9.4154
924,9.1953
925,9.0923
926,8.987
927,9.0656
928,8.6932
929,8.7432
930,8.5526
931,8.4314
932,8.4145
933,8.1398
934,7.83
935,7.8282
936,7.8143
937,8.0362
938,8.0658
939,8.3102
940,8.0405
941,8.1548
942,7.9911
943,7.8006
944,7.6371
945,7.2307
946,7.2935
947,7.2077
948,6.6429
949,6.7402
950,6.4557
951,6.343
952,6.1079
953,5.8034
954,5.409
955,5.3957
956,5.3045
957,5.0067
958,4.8036
959,4.5225
960,4.2679
961,4.0203
962,3.7681
963,3.5766
964,3.8542
965,4.3727
966,5.187
967,4.6314
968,5.0619
969,4.6028
970,4.3395
971,3.9139
972,3.559
973,4.2237
974,4.0687
975,4.4891
976,4.5782
977,4.781
978,4.3632
979,4.6552
980,6.478
981,6.9246
982,6.4573
983,6.276
984,5.711
985,5.3698
986,5.64
987,5.8465
988,8.1653
989,7.977
990,8.2494
991,7.4043
992,7.2868
993,6.944
994,6.0312
995,5.458
996,5.0662
997,4.5804
998,4.3907
999,4.1496
1000,3.8637
1001,3.6425
1002,3.6813
1003,3.7118
1004,3.5129
1005,3.4821
1006,3.1951
1007,3.0455
1008,2.6983
1009,2.4356
1010,2.1855
1011,1.9304
1012,1.6167
1013,1.5472
1014,1.5011
1015,1.9234
1016,1.8883
1017,1.8525
1018,1.5975
1019,1.5904
1020,1.3803
1021,1.3322
1022,1.0271
1023,0.9684
1024,0.6565
1025,0.941
1026,0.9077
1027,1.3198
1028,1.4036
1029,1.7557
1030,1.581
1031,1.5592
1032,1.2928
1033,1.1858
1034,0.996
1035,0.8019
1036,0.6855
1037,0.4795
1038,0.4069
1039,0.1002
1040,0.0903
1041,-0.1972
1042,-0.1596
1043,-0.3924
1044,-0.2173
1045,-0.0925
1046,-0.1206
1047,-0.2467
1048,-0.3198
1049,-0.3942
1050,-0.4136
1051,-0.1203
1052,0.3421
1053,0.3688
1054,0.1469
1055,0.1387
1056,-0.1426
1057,-0.2407
1058,-0.4491
1059,-0.5875
1060,-0.7212
1061,-0.8726
1062,-0.8538
1063,-1.0113
1064,-0.981
1065,-1.1915
1066,-1.1833
1067,-1.3018
1068,-1.1682
1069,-0.6723
1070,0.3952
