frame,dF_F
974,1.4652
975,0.8735
976,0.5127
977,0.0923
978,-0.092
979,-0.2482
980,-0.5535
981,-0.6815
982,-0.7748
983,-0.89
984,-1.0325
985,-1.2557
986,-1.2651
987,-1.3911
988,-1.5141
989,-1.463
990,-1.7192
991,-1.7692
992,-1.7712
993,-1.9793
994,-1.9214
995,-2.0409
996,-2.156
997,-2.0562
998,-2.2002
999,-2.2656
1000,-2.1537
1001,-2.3269
1002,-2.297
1003,-2.2828
1004,-2.419
1005,-2.3103
1006,-2.3855
1007,-2.5018
1008,-2.3933
1009,-2.5278
1010,-2.4977
1011,-2.4886
1012,-2.5974
1013,-2.5091
1014,-2.5243
1015,-2.5735
1016,-2.5051
1017,-2.5464
1018,-2.5537
1019,-2.4698
1020,-2.5373
1021,-2.5004
1022,-2.4989
1023,-2.5723
1024,-2.4615
1025,-2.3865
1026,-2.3538
1027,-2.4123
1028,-2.5236
1029,-2.5148
1030,-2.5689
1031,-2.4687
1032,-2.4869
1033,-2.6195
1034,-2.5875
1035,-2.6491
1036,-2.6893
1037,-2.6007
1038,-2.7613
1039,-2.7994
1040,-2.6643
1041,-2.8174
1042,-2.693
1043,-2.5349
1044,-2.7384
1045,-2.6637
1046,-2.6751
1047,-2.7799
1048,-2.6641
1049,-2.6343
1050,-1.7425
1051,1.4488
1052,4.3633
1053,5.3222
1054,5.8428
1055,5.2682
1056,6.2005
1057,5.2595
1058,4.2112
1059,3.3633
1060,3.6052
1061,3.3111
1062,3.1585
1063,2.5984
1064,1.8258
1065,1.5037
1066,0.8649
1067,0.4381
1068,0.1553
1069,-0.294
1070,-0.4446
1071,-0.6585
1072,-0.9703
1073,-1.0071
1074,-1.2788
1075,-1.4613
1076,-1.5057
1077,-1.7314
1078,-1.7508
1079,-1.8821
1080,-2.0537
1081,-2.0239
1082,-2.1233
1083,-2.2089
1084,-2.2678
1085,-2.3653
1086,-2.3635
1087,-2.4488
1088,-2.1829
1089,-1.7095
1090,-2.0196
1091,-2.1479
1092,-2.1842
1093,-2.2174
1094,-2.1535
1095,-2.2842
1096,-2.2312
1097,-2.2966
1098,-2.3859
1099,-2.2494
1100,-2.3649
1101,-2.376
1102,-2.1577
1103,-1.6954
1104,-0.9296
1105,-0.6197
1106,1.052
1107,2.4049
1108,1.6361
1109,2.1531
1110,2.2025
1111,1.2796
1112,1.017
1113,1.0183
1114,0.48
1115,0.0767
1116,-0.3124
1117,-0.5648
1118,-0.8696
1119,-1.1733
1120,-1.3935
1121,-1.5999
1122,-1.7197
1123,-1.9428
1124,-2.0033
1125,-2.1464
1126,-2.3114
1127,-2.2788
1128,-2.497
1129,-2.475
1130,-2.5228
1131,-2.6932
1132,-2.6183
1133,-2.7367
1134,-2.8206
1135,-2.7991
1136,-2.8912
1137,-2.9003
1138,-2.9469
1139,-3.084
1140,-3.049
1141,-3.0733
1142,-3.1584
1143,-3.0014
1144,-3.0123
1145,-3.0641
1146,-3.0468
1147,-3.1005
1148,-3.0603
1149,-3.1098
1150,-3.1374
1151,-3.1272
1152,-3.1535
1153,-3.1461
1154,-3.1412
1155,-2.9947
1156,-2.4494
1157,-1.9491
1158,-1.7795
1159,1.1115
1160,1.2704
1161,0.2207
1162,-0.3919
1163,-0.9936
1164,-1.2843
1165,-1.6336
1166,-1.9038
1167,-1.9264
1168,-2.2054
1169,-2.2803
1170,-2.383
1171,-2.5775
1172,-2.5427
1173,-2.6304
1174,-2.7135
1175,-2.7864
1176,-2.869
1177,-2.8615
1178,-2.9921
1179,-3.0142
1180,-3.0414
1181,-3.0866
1182,-3.0822
1183,-3.0537
1184,-3.1269
1185,-3.0733
1186,-3.0628
1187,-2.7954
1188,-2.2842
1189,-0.4288
1190,5.5477
1191,4.8899
1192,6.4605
1193,8.5142
1194,7.7603
1195,6.366
1196,5.3415
1197,5.3952
1198,4.3944
1199,4.4807
1200,3.3821
1201,2.673
1202,2.1631
1203,1.3747
1204,1.0925
1205,0.6247
1206,0.0067
1207,-0.4137
1208,-0.6018
1209,-0.7479
1210,-0.9951
1211,-0.992
1212,-0.7426
1213,-0.337
1214,-0.1707
1215,-0.1148
1216,-0.0235
1217,-0.5841
1218,-0.9576
1219,-1.1113
1220,-1.4495
1221,-1.5082
1222,-1.7449
1223,-1.8886
1224,-1.8993
1225,-2.0981
1226,-2.1109
1227,-2.2594
1228,-2.3449
1229,-2.442
1230,-2.5128
1231,-2.5625
1232,-2.6644
1233,-2.6685
1234,-2.7706
1235,-2.7702
1236,-2.847
1237,-2.9348
1238,-2.8937
1239,-3.0726
1240,-2.9949
1241,-3.0726
1242,-3.1307
1243,-3.0781
1244,-3.2593
1245,-3.2008
1246,-3.2485
1247,-3.3503
1248,-3.2355
1249,-3.3883
1250,-3.3522
1251,-3.3468
1252,-3.4796
1253,-3.374
1254,-3.4661
1255,-3.5405
1256,-3.4512
1257,-3.5729
1258,-3.5176
1259,-3.5357
1260,-3.6402
1261,-3.5148
1262,-3.5875
1263,-3.5981
1264,-3.5826
1265,-3.6619
1266,-3.6086
1267,-3.6371
1268,-3.6839
1269,-3.6789
1270,-3.7331
1271,-3.6875
1272,-3.7322
1273,-3.7571
1274,-3.7134
1275,-3.7187
1276,-3.68
1277,-3.7196
1278,-3.7478
1279,-3.6992
1280,-3.7991
1281,-3.7498
1282,-3.7767
1283,-3.849
1284,-3.8008
1285,-3.8624
1286,-3.8187
1287,-3.8309
1288,-3.9261
1289,-3.7496
1290,-3.8608
1291,-3.8666
1292,-3.7848
1293,-3.9488
1294,-3.8241
1295,-3.8912
1296,-3.9197
1297,-3.8224
1298,-3.9493
1299,-3.8556
1300,-3.9195
1301,-3.9829
1302,-3.905
1303,-3.9414
1304,-3.9096
1305,-3.9321
1306,-3.9917
1307,-3.9173
1308,-3.9657
1309,-3.9922
1310,-3.9873
1311,-4.0381
1312,-3.9648
1313,-4.0246
1314,-4.0188
1315,-4.0289
1316,-4.0721
1317,-4.0128
1318,-4.0301
1319,-3.9941
1320,-3.9917
1321,-3.9801
1322,-3.9159
1323,-3.963
1324,-3.8595
1325,-3.7991
1326,-3.9441
1327,-3.8324
1328,-3.8339
1329,-3.8593
1330,-3.6862
1331,-3.6973
1332,-3.643
1333,-3.6702
1334,-3.7833
1335,-3.6566
1336,-3.7557
