Typical Measured Spectrum of Semrock FF01-479/585 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
452.8	2.8417e-08
453.0	6.1206e-08
453.2	1.3183e-07
453.4	2.0191e-07
453.6	2.8011e-07
453.8	3.9997e-07
454.0	5.793e-07
454.2	8.4087e-07
454.4	1.2365e-06
454.6	1.8182e-06
454.8	2.6456e-06
455.0	3.8246e-06
455.2	5.5897e-06
455.4	8.2571e-06
455.6	1.2197e-05
455.8	1.952e-05
456.0	3.1289e-05
456.2	5.2415e-05
456.4	9.2572e-05
456.6	1.5241e-04
456.8	2.6045e-04
457.0	4.5589e-04
457.2	8.2118e-04
457.4	0.00159
457.6	0.00317
457.8	0.00675
458.0	0.01634
458.2	0.03623
458.4	0.08164
458.6	0.17505
458.8	0.32331
459.0	0.49729
459.2	0.64792
459.4	0.75965
459.6	0.83898
459.8	0.88039
460.0	0.89411
460.2	0.8896
460.4	0.88012
460.6	0.87474
460.8	0.87884
461.0	0.88846
461.2	0.90246
461.4	0.91736
461.6	0.93155
461.8	0.94166
462.0	0.94859
462.2	0.95227
462.4	0.95267
462.6	0.95109
462.8	0.95056
463.0	0.94926
463.2	0.94888
463.4	0.94858
463.6	0.94917
463.8	0.94864
464.0	0.94772
464.2	0.94573
464.4	0.94421
464.6	0.94322
464.8	0.94176
465.0	0.94247
465.2	0.94376
465.4	0.94573
465.6	0.94869
465.8	0.95207
466.0	0.95494
466.2	0.95784
466.4	0.96034
466.6	0.96377
466.8	0.96593
467.0	0.96698
467.2	0.96962
467.4	0.97018
467.6	0.97208
467.8	0.97226
468.0	0.97283
468.2	0.97236
468.4	0.97221
468.6	0.96978
468.8	0.96742
469.0	0.96345
469.2	0.95935
469.4	0.95333
469.6	0.9462
469.8	0.93984
470.0	0.9338
470.2	0.92903
470.4	0.92573
470.6	0.92364
470.8	0.92447
471.0	0.92663
471.2	0.93077
471.4	0.93751
471.6	0.94447
471.8	0.9537
472.0	0.96273
472.2	0.97103
472.4	0.97828
472.6	0.98401
472.8	0.98697
473.0	0.98765
473.2	0.98639
473.4	0.98224
473.6	0.97705
473.8	0.96914
474.0	0.96275
474.2	0.95549
474.4	0.95037
474.6	0.94624
474.8	0.94433
475.0	0.94369
475.2	0.94594
475.4	0.94828
475.6	0.9528
475.8	0.959
476.0	0.96541
476.2	0.97164
476.4	0.97766
476.6	0.98234
476.8	0.98532
477.0	0.9852
477.2	0.98423
477.4	0.9822
477.6	0.97794
477.8	0.97401
478.0	0.9696
478.2	0.96534
478.4	0.96119
478.6	0.96018
478.8	0.95882
479.0	0.9592
479.2	0.96214
479.4	0.96456
479.6	0.9683
479.8	0.97279
480.0	0.9771
480.2	0.98052
480.4	0.98306
480.6	0.98278
480.8	0.98246
481.0	0.98007
481.2	0.97729
481.4	0.97346
481.6	0.96942
481.8	0.96558
482.0	0.96155
482.2	0.95855
482.4	0.9576
482.6	0.95759
482.8	0.95877
483.0	0.96012
483.2	0.96389
483.4	0.96774
483.6	0.97148
483.8	0.97537
484.0	0.9786
484.2	0.98024
484.4	0.98049
484.6	0.9797
484.8	0.97849
485.0	0.97686
485.2	0.97327
485.4	0.96986
485.6	0.96761
485.8	0.96616
486.0	0.9647
486.2	0.9638
486.4	0.96403
486.6	0.96447
486.8	0.96499
487.0	0.96572
487.2	0.967
487.4	0.96699
487.6	0.96567
487.8	0.96421
488.0	0.96199
488.2	0.95989
488.4	0.95694
488.6	0.9546
488.8	0.95246
489.0	0.95218
489.2	0.95245
489.4	0.95404
489.6	0.95811
489.8	0.96276
490.0	0.96825
490.2	0.97428
490.4	0.97874
490.6	0.98337
490.8	0.98503
491.0	0.98577
491.2	0.98517
491.4	0.98188
491.6	0.97809
491.8	0.97396
492.0	0.96944
492.2	0.96544
492.4	0.96226
492.6	0.95905
492.8	0.95724
493.0	0.95585
493.2	0.95498
493.4	0.95251
493.6	0.95026
493.8	0.94674
494.0	0.94257
494.2	0.93929
494.4	0.93629
494.6	0.9344
494.8	0.93484
495.0	0.93644
495.2	0.93975
495.4	0.94396
495.6	0.947
495.8	0.94939
496.0	0.95026
496.2	0.95115
496.4	0.95276
496.6	0.95448
496.8	0.95819
497.0	0.96089
497.2	0.95749
497.4	0.94628
497.6	0.92513
497.8	0.89913
498.0	0.87588
498.2	0.84456
498.4	0.74295
498.6	0.51185
498.8	0.25502
499.0	0.10608
499.2	0.03622
499.4	0.01519
499.6	0.00686
499.8	0.0033
500.0	0.00171
500.2	9.6873e-04
500.4	5.7751e-04
500.6	3.0992e-04
500.8	1.4085e-04
501.0	8.1254e-05
501.2	4.8673e-05
501.4	3.0209e-05
501.6	1.8966e-05
501.8	1.2101e-05
502.0	7.7208e-06
502.2	5.1256e-06
502.4	3.4556e-06
502.6	2.3659e-06
502.8	1.7229e-06
503.0	1.2546e-06
503.2	1.126e-06
503.4	1.115e-06
503.6	9.7451e-07
503.8	7.8498e-07
504.0	6.3688e-07
504.2	5.5571e-07
