Typical Measured Spectrum of Semrock FF01-524/628 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
448.0	8.2555e-09
448.2	6.7249e-09
448.4	5.4781e-09
448.6	4.4625e-09
448.8	3.6351e-09
449.0	2.9611e-09
449.2	3.608e-09
449.4	4.72e-09
449.6	6.1746e-09
449.8	8.0776e-09
450.0	1.0567e-08
450.2	1.3824e-08
450.4	1.8084e-08
450.6	2.3657e-08
450.8	3.0948e-08
451.0	4.0486e-08
451.2	3.5493e-08
451.4	2.6934e-08
451.6	2.0439e-08
451.8	1.551e-08
452.0	1.177e-08
452.2	8.9316e-09
452.4	6.7778e-09
452.6	5.1433e-09
452.8	3.903e-09
453.0	2.9618e-09
453.2	3.0553e-09
453.4	3.7891e-09
453.6	4.6991e-09
453.8	5.8277e-09
454.0	7.2274e-09
454.2	8.9633e-09
454.4	1.1116e-08
454.6	1.3786e-08
454.8	1.7097e-08
455.0	2.1203e-08
455.2	2.0853e-08
455.4	2.0509e-08
455.6	2.017e-08
455.8	1.9836e-08
456.0	1.9509e-08
456.2	1.9186e-08
456.4	1.8869e-08
456.6	1.8558e-08
456.8	1.8251e-08
457.0	1.795e-08
457.2	1.4881e-08
457.4	1.2327e-08
457.6	1.0211e-08
457.8	8.4581e-09
458.0	7.0063e-09
458.2	5.8036e-09
458.4	4.8074e-09
458.6	3.9822e-09
458.8	3.2986e-09
459.0	2.7324e-09
459.2	2.6572e-09
459.4	2.6384e-09
459.6	2.6198e-09
459.8	2.6013e-09
460.0	2.583e-09
460.2	2.5648e-09
460.4	2.5467e-09
460.6	2.5287e-09
460.8	2.5108e-09
461.0	2.4931e-09
461.2	2.4795e-09
461.4	2.4672e-09
461.6	2.4549e-09
461.8	2.4426e-09
462.0	2.4305e-09
462.2	2.4183e-09
462.4	2.4063e-09
462.6	2.3943e-09
462.8	2.3823e-09
463.0	2.3705e-09
463.2	2.4739e-09
463.4	2.6432e-09
463.6	2.8242e-09
463.8	3.0175e-09
464.0	3.224e-09
464.2	3.4447e-09
464.4	3.6805e-09
464.6	3.9324e-09
464.8	4.2016e-09
465.0	4.4891e-09
465.2	4.6744e-09
465.4	4.8673e-09
465.6	5.0681e-09
465.8	5.2773e-09
466.0	5.4951e-09
466.2	5.7218e-09
466.4	5.9579e-09
466.6	6.2038e-09
466.8	6.4598e-09
467.0	6.7264e-09
467.2	6.6849e-09
467.4	6.6373e-09
467.6	6.5901e-09
467.8	6.5432e-09
468.0	6.4967e-09
468.2	6.4505e-09
468.4	6.4046e-09
468.6	6.359e-09
468.8	6.3138e-09
469.0	6.2689e-09
469.2	6.2405e-09
469.4	6.2145e-09
469.6	6.1887e-09
469.8	6.1629e-09
470.0	6.1373e-09
470.2	6.1117e-09
470.4	6.0863e-09
470.6	6.061e-09
470.8	6.0358e-09
471.0	6.0107e-09
471.2	6.6626e-09
471.4	7.6186e-09
471.6	8.7118e-09
471.8	9.9619e-09
472.0	1.1391e-08
472.2	1.3026e-08
472.4	1.4895e-08
472.6	1.7032e-08
472.8	1.9476e-08
473.0	2.2271e-08
473.2	2.5967e-08
473.4	3.0563e-08
473.6	3.5973e-08
473.8	4.234e-08
474.0	4.9834e-08
474.2	5.8654e-08
474.4	6.9035e-08
474.6	8.1253e-08
474.8	9.5635e-08
475.0	1.1256e-07
475.2	1.2293e-07
475.4	1.3426e-07
475.6	1.4664e-07
475.8	1.6015e-07
476.0	1.7491e-07
476.2	1.9103e-07
476.4	2.0863e-07
476.6	2.2786e-07
476.8	2.4886e-07
477.0	2.7179e-07
477.2	2.7339e-07
477.4	2.7394e-07
477.6	2.7448e-07
477.8	2.7503e-07
478.0	2.7557e-07
478.2	2.7612e-07
478.4	2.7667e-07
478.6	2.7722e-07
478.8	2.7777e-07
479.0	2.7832e-07
479.2	2.8143e-07
479.4	2.8501e-07
479.6	2.8864e-07
479.8	2.9232e-07
480.0	2.9604e-07
480.2	2.9981e-07
480.4	3.0362e-07
480.6	3.0749e-07
480.8	3.114e-07
481.0	3.1537e-07
481.2	3.2087e-07
481.4	3.2694e-07
481.6	3.3313e-07
481.8	3.3943e-07
482.0	3.4585e-07
482.2	3.524e-07
482.4	3.5907e-07
482.6	3.6586e-07
482.8	3.7279e-07
483.0	3.7984e-07
483.2	3.0709e-07
483.4	2.2096e-07
483.6	1.5899e-07
483.8	1.144e-07
484.0	8.2314e-08
484.2	5.9227e-08
484.4	4.2616e-08
484.6	3.0664e-08
484.8	2.2063e-08
485.0	1.5875e-08
485.2	2.2268e-08
485.4	4.5102e-08
485.6	8.3593e-08
485.8	8.3244e-08
486.0	8.2897e-08
